Customer_ID,First Name,Last Name,EMAIL,Phone,Gender,Date_Of_Birth,Country,City,Postal Code,Loyalty_Tier,Join Date,Last Purchase Date,Total_Orders,Lifetime Value USD,Avg Order Value USD,Churn_Risk_Score,Preferred Channel,Acquisition Source,Is_Subscribed_Newsletter,Account_Status
CUST-679752,Chen,Smith,user6239@icloud.com,+60-4807048321,M,1961-11-01,IN,Bangalore,35954.0,Gold,2021-10-21,,40,268.26,6.71,,Phone Order,Email,1,Active
CUST-695663,Priya,Johnson,user9795@yahoo.com,,Non-binary,09-28-1988,DE,Frankfurt,86112.0,Silver,2022-02-02,2023-04-25,3,554.81,184.94,0.337,Phone Order,Organic Search,1,Inactive
CUST-284909,Mary,Taylor,,+30-2470689452,M,21/02/1964,JP,Tokyo,93193.0,Silver,2022-06-30,2023-02-09,28,207.34,7.41,0.758,Phone Order,,1,Suspended
CUST-569621,Robert,Rossi,user8004@gmail.com,+14-3162932540,M,1984-03-08,BR,São Paulo,26978.0,Bronze,2022-06-13,2024-05-21,23,69.14,3.01,0.206,Online,Influencer,1,Active
CUST-559810,Jennifer,Nguyen,user1432@yahoo.com,+1-6106575542,M,1963-10-17,ZA,Durban,10467.0,Gold,21/02/2020,,48,260.36,,0.008,Phone Order,Email,1,Active
CUST-699775,Chen,Jones,user5210@hotmail.com,+7-8596241428,f,1992-10-08,GB,Glasgow,61820.0,Bronze,2021-07-21,2023-10-05,84,1188.62,,0.339,Marketplace,In-Store,1,Active
CUST-234910,Barbara,Deschamps,user9548@hotmail.com,+85-5523015700,F,08-20-2003,IN,Pune,32913.0,Bronze,2020-02-24,2024-05-21,60,5138.06,85.63,0.827,Online,Email,1,Active
CUST-568790,Yuki,Miller,user4486@outlook.com,+56-6762453822,M,1994-11-28,BR,São Paulo,45953.0,Silver,2019-02-22,2023-02-12,59,360.57,6.11,0.604,Wholesale,Influencer,1,Inactive
CUST-320876,Michael,Santos,user5399@yahoo.com,+66-4831179355,Non-binary,10/01/1963,FR,Nantes,13606.0,Bronze,2020-02-19,2023-10-24,71,169.05,2.38,,In-Store,Organic Search,0,Active
CUST-255755,Mary,Miller,user1516@gmail.com,+5-6188549582,Non-binary,1994-12-10,CA,Calgary,,Bronze,2019-02-08,2023-01-26,16,274.61,17.16,0.393,Marketplace,,0,Active
CUST-941850,John,Davis,user5710@gmail.com,+73-8520514086,F,1996-12-11,DE,Cologne,77130.0,Bronze,"September 14, 2018",2024-05-03,70,1537.11,21.96,0.375,Phone Order,Influencer,1,Inactive
CUST-236119,Robert,Rossi,user6805@gmail.com,+19-6117553546,M,1965-02-27,IN,Chennai,97364.0,Bronze,2023-09-09,2023-04-10,109,1079.09,9.9,,Mobile App,In-Store,1,Active
CUST-561811,Priya,Brown,USER7577@HOTMAIL.COM,+52-7986124362,Non-binary,1991-02-24,US,Chicago,35375.0,Silver,2023-11-02,2024-05-10,9,38.73,4.3,,Phone Order,Referral,1,Active
CUST-470956,Mary,Garcia,user6349@gmail.com,+74-1558139778,male,20/09/1994,US,Dallas,62330.0,Platinum,2023-07-11,2024-05-19,20,225.51,11.28,0.654,Mobile App,Paid Ads,1,Active
CUST-420126,Barbara,Zhang,user5044@icloud.com,,F,09-07-1972,GB,London,,Bronze,2018-09-07,2023-10-22,9,481.8,53.53,0.797,Online,,0,Active
CUST-585408,Sofia,Okonkwo,user5004@gmail.com,+49-6486027723,Non-binary,1972-01-01,IN,Chennai,42344.0,Bronze,2021-03-12,2023-09-17,29,35.87,1.24,0.409,In-Store,Email,0,Inactive
CUST-562496,Liam,Zhang,user1179@gmail.com,+82-3661956601,Non-binary,1984-11-16,US,Los Angeles,29966.0,Silver,2024-03-06,,3,321.23,107.08,1.931,Marketplace,TV Ad,0,Active
CUST-929485,William,Müller,user2938@hotmail.com,+46-1737013943,Prefer not to say,1975-06-25,DE,Hamburg,42702.0,Silver,2022-03-12,2023-06-29,104,555.55,5.34,0.956,Phone Order,,1,Active
CUST-369989,Diego,Kumar,user9690@icloud.com,+14-7842505415,F,1976-08-24,IN,Mumbai,99924.0,Silver,2020-05-30,2024-02-26,15,3104.29,206.95,0.408,Mobile App,Referral,1,Active
CUST-436635,Amara,Kumar,user6866@gmail.com,+62-2339859753,Non-binary,1996-01-30,AU,Brisbane,73653.0,Silver,2020-08-18,2023-11-24,14,335.79,23.99,0.997,Phone Order,Paid Ads,0,Active
CUST-361978,Diego,Santos,user3933@yahoo.com,+88-5300549819,male,1991-01-03,IN,Delhi,87331.0,Bronze,2018-04-20,2024-04-30,40,2207.68,55.19,0.948,Phone Order,,1,Active
